Latitude (decimal degrees):	42.330
Longitude (decimal degrees):	3.070
Radiation database:	PVGIS-SARAH2
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses(%):	0.0
Fixed slope of modules (deg.) (optimum):	39
Orientation (azimuth) of modules (deg.) (optimum):	-2

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		3.91		121.26		4.01		124.46		17.97
2		4.69		131.41		4.86		136.01		15.49
3		5.08		157.47		5.39		167.17		19.04
4		5.35		160.6		5.82		174.7		16.51
5		5.44		168.55		6.02		186.53		14.89
6		5.67		170.07		6.43		192.97		10.62
7		5.79		179.55		6.66		206.47		7.33
8		5.68		175.94		6.49		201.04		9.14
9		5.17		155.11		5.78		173.43		9.7
10		4.45		138.01		4.8		148.9		15.43
11		3.87		116.2		4.05		121.37		15.7
12		3.79		117.57		3.88		120.13		8.35
Year		4.91		149.31		5.35		162.77		4.66
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-2.55		1.00		-6.8		-8.27

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Union, 2001-2022